period,mmm_b2c_acq_dma,inbound_call_volume
2019-11-10,SAN ANGELO TX,63
2019-11-10,SHREVEPORT LA,91
2019-11-10,SPRINGFIELD MO,65
2019-11-10,ST JOSEPH MO,22
2019-11-10,TULSA OK,42
2019-11-10,TYLER-LONGVIEW TX,155
2019-11-10,VICTORIA TX,38
2019-11-10,WACO-TEMPLE-BRYAN TX,59
2019-11-17,ABILENE-SWEETWATER TX,108
2019-11-17,ALEXANDRIA LA,90
2019-11-17,AMARILLO TX,161
2019-11-17,AUSTIN TX,68
2019-11-17,All Other Suddenlink DMA Total,255
2019-11-17,BLUEFIELD-BECKLEY-OAK HILL WV,107
2019-11-17,CHARLESTON-HUNTINGTON WV,222
2019-11-17,DALLAS-FT WORTH TX,160
2019-11-17,EUREKA CA,49
2019-11-17,GREENVILLE-NEW BERN-WASH NC,130
2019-11-17,HOUSTON TX,166
2019-11-17,JONESBORO AR,47
2019-11-17,LAKE CHARLES LA,101
2019-11-17,LITTLE ROCK AR,104
2019-11-17,LUBBOCK TX,167
2019-11-17,MONROE-EL DORADO LA-AR,42
2019-11-17,"NEW YORK, NY",8220
2019-11-17,ODESSA-MIDLAND TX,71
2019-11-17,OKLAHOMA CITY OK,56
2019-11-17,PARKERSBURG WV,62
2019-11-17,PHOENIX AZ,139
2019-11-17,RALEIGH-DURHAM NC,85
2019-11-17,SAN ANGELO TX,41
2019-11-17,SHREVEPORT LA,99
2019-11-17,SPRINGFIELD MO,69
2019-11-17,ST JOSEPH MO,23
2019-11-17,TULSA OK,26
2019-11-17,TYLER-LONGVIEW TX,130
2019-11-17,VICTORIA TX,34
2019-11-17,WACO-TEMPLE-BRYAN TX,65
2019-11-24,ABILENE-SWEETWATER TX,116
2019-11-24,ALEXANDRIA LA,93
2019-11-24,AMARILLO TX,143
2019-11-24,AUSTIN TX,73
2019-11-24,All Other Suddenlink DMA Total,223
2019-11-24,BLUEFIELD-BECKLEY-OAK HILL WV,87
2019-11-24,CHARLESTON-HUNTINGTON WV,161
2019-11-24,DALLAS-FT WORTH TX,148
2019-11-24,EUREKA CA,40
2019-11-24,GREENVILLE-NEW BERN-WASH NC,137
2019-11-24,HOUSTON TX,124
2019-11-24,JONESBORO AR,43
2019-11-24,LAKE CHARLES LA,70
2019-11-24,LITTLE ROCK AR,101
2019-11-24,LUBBOCK TX,145
2019-11-24,MONROE-EL DORADO LA-AR,67
2019-11-24,"NEW YORK, NY",7233
2019-11-24,ODESSA-MIDLAND TX,59
2019-11-24,OKLAHOMA CITY OK,72
2019-11-24,PARKERSBURG WV,41
2019-11-24,PHOENIX AZ,149
2019-11-24,RALEIGH-DURHAM NC,83
2019-11-24,SAN ANGELO TX,51
2019-11-24,SHREVEPORT LA,74
2019-11-24,SPRINGFIELD MO,70
2019-11-24,ST JOSEPH MO,37
2019-11-24,TULSA OK,31
2019-11-24,TYLER-LONGVIEW TX,170
2019-11-24,VICTORIA TX,27
2019-11-24,WACO-TEMPLE-BRYAN TX,56
2019-12-01,ABILENE-SWEETWATER TX,107
2019-12-01,ALEXANDRIA LA,78
2019-12-01,AMARILLO TX,149
2019-12-01,AUSTIN TX,89
2019-12-01,All Other Suddenlink DMA Total,293
2019-12-01,BLUEFIELD-BECKLEY-OAK HILL WV,108
2019-12-01,CHARLESTON-HUNTINGTON WV,227
2019-12-01,DALLAS-FT WORTH TX,212
2019-12-01,EUREKA CA,40
2019-12-01,GREENVILLE-NEW BERN-WASH NC,183
2019-12-01,HOUSTON TX,133
2019-12-01,JONESBORO AR,41
2019-12-01,LAKE CHARLES LA,117
2019-12-01,LITTLE ROCK AR,114
2019-12-01,LUBBOCK TX,145
2019-12-01,MONROE-EL DORADO LA-AR,61
2019-12-01,"NEW YORK, NY",9356
2019-12-01,ODESSA-MIDLAND TX,107
2019-12-01,OKLAHOMA CITY OK,54
2019-12-01,PARKERSBURG WV,69
2019-12-01,PHOENIX AZ,165
2019-12-01,RALEIGH-DURHAM NC,71
2019-12-01,SAN ANGELO TX,70
2019-12-01,SHREVEPORT LA,126
2019-12-01,SPRINGFIELD MO,91
2019-12-01,ST JOSEPH MO,36
2019-12-01,TULSA OK,42
2019-12-01,TYLER-LONGVIEW TX,183
2019-12-01,VICTORIA TX,27
2019-12-01,WACO-TEMPLE-BRYAN TX,71
2019-12-08,ABILENE-SWEETWATER TX,76
2019-12-08,ALEXANDRIA LA,90
2019-12-08,AMARILLO TX,137
2019-12-08,AUSTIN TX,65
2019-12-08,All Other Suddenlink DMA Total,255
2019-12-08,BLUEFIELD-BECKLEY-OAK HILL WV,107
2019-12-08,CHARLESTON-HUNTINGTON WV,201
2019-12-08,DALLAS-FT WORTH TX,174
2019-12-08,EUREKA CA,32
2019-12-08,GREENVILLE-NEW BERN-WASH NC,144
2019-12-08,HOUSTON TX,163
2019-12-08,JONESBORO AR,48
2019-12-08,LAKE CHARLES LA,111
2019-12-08,LITTLE ROCK AR,103
2019-12-08,LUBBOCK TX,153
2019-12-08,MONROE-EL DORADO LA-AR,56
2019-12-08,"NEW YORK, NY",9779
2019-12-08,ODESSA-MIDLAND TX,114
2019-12-08,OKLAHOMA CITY OK,52
2019-12-08,PARKERSBURG WV,57
2019-12-08,PHOENIX AZ,198
2019-12-08,RALEIGH-DURHAM NC,78
2019-12-08,SAN ANGELO TX,50
2019-12-08,SHREVEPORT LA,98
2019-12-08,SPRINGFIELD MO,63
2019-12-08,ST JOSEPH MO,33
2019-12-08,TULSA OK,47
2019-12-08,TYLER-LONGVIEW TX,172
2019-12-08,VICTORIA TX,20
2019-12-08,WACO-TEMPLE-BRYAN TX,73
2019-12-15,ABILENE-SWEETWATER TX,116
2019-12-15,ALEXANDRIA LA,167
2019-12-15,AMARILLO TX,205
2019-12-15,AUSTIN TX,128
2019-12-15,All Other Suddenlink DMA Total,498
2019-12-15,BLUEFIELD-BECKLEY-OAK HILL WV,173
2019-12-15,CHARLESTON-HUNTINGTON WV,287
2019-12-15,DALLAS-FT WORTH TX,382
2019-12-15,EUREKA CA,62
2019-12-15,GREENVILLE-NEW BERN-WASH NC,284
2019-12-15,HOUSTON TX,316
2019-12-15,JONESBORO AR,85
2019-12-15,LAKE CHARLES LA,185
2019-12-15,LITTLE ROCK AR,198
2019-12-15,LUBBOCK TX,272
2019-12-15,MONROE-EL DORADO LA-AR,87
2019-12-15,"NEW YORK, NY",10393
2019-12-15,ODESSA-MIDLAND TX,123
2019-12-15,OKLAHOMA CITY OK,138
2019-12-15,PARKERSBURG WV,76
2019-12-15,PHOENIX AZ,283
2019-12-15,RALEIGH-DURHAM NC,164
2019-12-15,SAN ANGELO TX,103
2019-12-15,SHREVEPORT LA,181
2019-12-15,SPRINGFIELD MO,119
2019-12-15,ST JOSEPH MO,74
2019-12-15,TULSA OK,76
2019-12-15,TYLER-LONGVIEW TX,260
2019-12-15,VICTORIA TX,56
2019-12-15,WACO-TEMPLE-BRYAN TX,135
2019-12-22,ABILENE-SWEETWATER TX,87
2019-12-22,ALEXANDRIA LA,152
2019-12-22,AMARILLO TX,219
2019-12-22,AUSTIN TX,123
2019-12-22,All Other Suddenlink DMA Total,458
2019-12-22,BLUEFIELD-BECKLEY-OAK HILL WV,152
2019-12-22,CHARLESTON-HUNTINGTON WV,271
2019-12-22,DALLAS-FT WORTH TX,331
2019-12-22,EUREKA CA,31
2019-12-22,GREENVILLE-NEW BERN-WASH NC,327
2019-12-22,HOUSTON TX,263
2019-12-22,JONESBORO AR,67
2019-12-22,LAKE CHARLES LA,146
2019-12-22,LITTLE ROCK AR,203
2019-12-22,LUBBOCK TX,226
2019-12-22,MONROE-EL DORADO LA-AR,89
2019-12-22,"NEW YORK, NY",8214
2019-12-22,ODESSA-MIDLAND TX,103
2019-12-22,OKLAHOMA CITY OK,154
2019-12-22,PARKERSBURG WV,78
2019-12-22,PHOENIX AZ,274
2019-12-22,RALEIGH-DURHAM NC,135
2019-12-22,SAN ANGELO TX,79
2019-12-22,SHREVEPORT LA,141
2019-12-22,SPRINGFIELD MO,96
2019-12-22,ST JOSEPH MO,58
2019-12-22,TULSA OK,79
2019-12-22,TYLER-LONGVIEW TX,327
2019-12-22,VICTORIA TX,56
2019-12-22,WACO-TEMPLE-BRYAN TX,135
2019-12-29,ABILENE-SWEETWATER TX,150
2019-12-29,ALEXANDRIA LA,270
2019-12-29,AMARILLO TX,219
2019-12-29,AUSTIN TX,171
2019-12-29,All Other Suddenlink DMA Total,638
2019-12-29,BLUEFIELD-BECKLEY-OAK HILL WV,218
2019-12-29,CHARLESTON-HUNTINGTON WV,394
2019-12-29,DALLAS-FT WORTH TX,486
2019-12-29,EUREKA CA,100
2019-12-29,GREENVILLE-NEW BERN-WASH NC,344
2019-12-29,HOUSTON TX,358
2019-12-29,JONESBORO AR,101
2019-12-29,LAKE CHARLES LA,192
2019-12-29,LITTLE ROCK AR,262
2019-12-29,LUBBOCK TX,285
2019-12-29,MONROE-EL DORADO LA-AR,118
2019-12-29,"NEW YORK, NY",8385
2019-12-29,ODESSA-MIDLAND TX,175
2019-12-29,OKLAHOMA CITY OK,204
2019-12-29,PARKERSBURG WV,142
2019-12-29,PHOENIX AZ,351
2019-12-29,RALEIGH-DURHAM NC,179
2019-12-29,SAN ANGELO TX,117
2019-12-29,SHREVEPORT LA,231
2019-12-29,SPRINGFIELD MO,149
2019-12-29,ST JOSEPH MO,91
2019-12-29,TULSA OK,119
2019-12-29,TYLER-LONGVIEW TX,391
2019-12-29,VICTORIA TX,58
2019-12-29,WACO-TEMPLE-BRYAN TX,159
2020-01-05,ABILENE-SWEETWATER TX,188
2020-01-05,ALEXANDRIA LA,209
2020-01-05,AMARILLO TX,262
2020-01-05,AUSTIN TX,143
2020-01-05,All Other Suddenlink DMA Total,559
2020-01-05,BLUEFIELD-BECKLEY-OAK HILL WV,248
2020-01-05,CHARLESTON-HUNTINGTON WV,373
2020-01-05,DALLAS-FT WORTH TX,427
2020-01-05,EUREKA CA,107
2020-01-05,GREENVILLE-NEW BERN-WASH NC,342
2020-01-05,HOUSTON TX,383
2020-01-05,JONESBORO AR,72
2020-01-05,LAKE CHARLES LA,160
2020-01-05,LITTLE ROCK AR,218
2020-01-05,LUBBOCK TX,278
2020-01-05,MONROE-EL DORADO LA-AR,120
2020-01-05,"NEW YORK, NY",9104
2020-01-05,ODESSA-MIDLAND TX,218
2020-01-05,OKLAHOMA CITY OK,181
2020-01-05,PARKERSBURG WV,98
2020-01-05,PHOENIX AZ,350
2020-01-05,RALEIGH-DURHAM NC,111
2020-01-05,SAN ANGELO TX,122
2020-01-05,SHREVEPORT LA,262
2020-01-05,SPRINGFIELD MO,146
2020-01-05,ST JOSEPH MO,84
2020-01-05,TULSA OK,71
2020-01-05,TYLER-LONGVIEW TX,407
2020-01-05,VICTORIA TX,90
2020-01-05,WACO-TEMPLE-BRYAN TX,185
2020-01-12,ABILENE-SWEETWATER TX,131
2020-01-12,ALEXANDRIA LA,157
2020-01-12,AMARILLO TX,227
2020-01-12,AUSTIN TX,128
2020-01-12,All Other Suddenlink DMA Total,502
2020-01-12,BLUEFIELD-BECKLEY-OAK HILL WV,173
2020-01-12,CHARLESTON-HUNTINGTON WV,358
2020-01-12,DALLAS-FT WORTH TX,311
2020-01-12,EUREKA CA,127
2020-01-12,GREENVILLE-NEW BERN-WASH NC,310
2020-01-12,HOUSTON TX,298
2020-01-12,JONESBORO AR,77
2020-01-12,LAKE CHARLES LA,158
2020-01-12,LITTLE ROCK AR,253
2020-01-12,LUBBOCK TX,291
2020-01-12,MONROE-EL DORADO LA-AR,97
2020-01-12,"NEW YORK, NY",7689
2020-01-12,ODESSA-MIDLAND TX,173
2020-01-12,OKLAHOMA CITY OK,165
2020-01-12,PARKERSBURG WV,117
2020-01-12,PHOENIX AZ,324
2020-01-12,RALEIGH-DURHAM NC,135
2020-01-12,SAN ANGELO TX,107
2020-01-12,SHREVEPORT LA,196
2020-01-12,SPRINGFIELD MO,145
2020-01-12,ST JOSEPH MO,70
2020-01-12,TULSA OK,67
2020-01-12,TYLER-LONGVIEW TX,366
2020-01-12,VICTORIA TX,91
2020-01-12,WACO-TEMPLE-BRYAN TX,153
2020-01-19,ABILENE-SWEETWATER TX,148
2020-01-19,ALEXANDRIA LA,184
2020-01-19,AMARILLO TX,196
2020-01-19,AUSTIN TX,126
2020-01-19,All Other Suddenlink DMA Total,505
2020-01-19,BLUEFIELD-BECKLEY-OAK HILL WV,227
2020-01-19,CHARLESTON-HUNTINGTON WV,349
2020-01-19,DALLAS-FT WORTH TX,369
2020-01-19,EUREKA CA,129
2020-01-19,GREENVILLE-NEW BERN-WASH NC,324
2020-01-19,HOUSTON TX,333
2020-01-19,JONESBORO AR,86
2020-01-19,LAKE CHARLES LA,141
2020-01-19,LITTLE ROCK AR,245
2020-01-19,LUBBOCK TX,282
2020-01-19,MONROE-EL DORADO LA-AR,98
2020-01-19,"NEW YORK, NY",7984
2020-01-19,ODESSA-MIDLAND TX,176
2020-01-19,OKLAHOMA CITY OK,154
2020-01-19,PARKERSBURG WV,81
2020-01-19,PHOENIX AZ,290
2020-01-19,RALEIGH-DURHAM NC,147
2020-01-19,SAN ANGELO TX,85
2020-01-19,SHREVEPORT LA,198
2020-01-19,SPRINGFIELD MO,145
2020-01-19,ST JOSEPH MO,85
2020-01-19,TULSA OK,72
2020-01-19,TYLER-LONGVIEW TX,329
2020-01-19,VICTORIA TX,99
2020-01-19,WACO-TEMPLE-BRYAN TX,139
2020-01-26,ABILENE-SWEETWATER TX,148
2020-01-26,ALEXANDRIA LA,210
2020-01-26,AMARILLO TX,263
2020-01-26,AUSTIN TX,139
2020-01-26,All Other Suddenlink DMA Total,573
2020-01-26,BLUEFIELD-BECKLEY-OAK HILL WV,194
2020-01-26,CHARLESTON-HUNTINGTON WV,403
2020-01-26,DALLAS-FT WORTH TX,399
2020-01-26,EUREKA CA,105
2020-01-26,GREENVILLE-NEW BERN-WASH NC,374
2020-01-26,HOUSTON TX,364
2020-01-26,JONESBORO AR,82
2020-01-26,LAKE CHARLES LA,171
2020-01-26,LITTLE ROCK AR,235
2020-01-26,LUBBOCK TX,260
2020-01-26,MONROE-EL DORADO LA-AR,105
2020-01-26,"NEW YORK, NY",8869
2020-01-26,ODESSA-MIDLAND TX,192
2020-01-26,OKLAHOMA CITY OK,141
2020-01-26,PARKERSBURG WV,119
2020-01-26,PHOENIX AZ,269
2020-01-26,RALEIGH-DURHAM NC,188
2020-01-26,SAN ANGELO TX,116
2020-01-26,SHREVEPORT LA,231
2020-01-26,SPRINGFIELD MO,147
2020-01-26,ST JOSEPH MO,72
2020-01-26,TULSA OK,91
2020-01-26,TYLER-LONGVIEW TX,405
2020-01-26,VICTORIA TX,94
2020-01-26,WACO-TEMPLE-BRYAN TX,105
2020-02-02,ABILENE-SWEETWATER TX,161
2020-02-02,ALEXANDRIA LA,164
2020-02-02,AMARILLO TX,245
2020-02-02,AUSTIN TX,125
2020-02-02,All Other Suddenlink DMA Total,479
2020-02-02,BLUEFIELD-BECKLEY-OAK HILL WV,179
2020-02-02,CHARLESTON-HUNTINGTON WV,289
2020-02-02,DALLAS-FT WORTH TX,332
2020-02-02,EUREKA CA,120
2020-02-02,GREENVILLE-NEW BERN-WASH NC,286
2020-02-02,HOUSTON TX,323
2020-02-02,JONESBORO AR,90
2020-02-02,LAKE CHARLES LA,158
2020-02-02,LITTLE ROCK AR,223
2020-02-02,LUBBOCK TX,247
2020-02-02,MONROE-EL DORADO LA-AR,101
2020-02-02,"NEW YORK, NY",7702
2020-02-02,ODESSA-MIDLAND TX,163
2020-02-02,OKLAHOMA CITY OK,173
2020-02-02,PARKERSBURG WV,96
2020-02-02,PHOENIX AZ,316
2020-02-02,RALEIGH-DURHAM NC,117
2020-02-02,SAN ANGELO TX,79
2020-02-02,SHREVEPORT LA,180
2020-02-02,SPRINGFIELD MO,161
2020-02-02,ST JOSEPH MO,72
2020-02-02,TULSA OK,76
2020-02-02,TYLER-LONGVIEW TX,361
2020-02-02,VICTORIA TX,83
2020-02-02,WACO-TEMPLE-BRYAN TX,129
2020-02-09,ABILENE-SWEETWATER TX,94
2020-02-09,ALEXANDRIA LA,166
2020-02-09,AMARILLO TX,174
2020-02-09,AUSTIN TX,118
2020-02-09,All Other Suddenlink DMA Total,427
2020-02-09,BLUEFIELD-BECKLEY-OAK HILL WV,132
2020-02-09,CHARLESTON-HUNTINGTON WV,303
2020-02-09,DALLAS-FT WORTH TX,312
2020-02-09,EUREKA CA,77
2020-02-09,GREENVILLE-NEW BERN-WASH NC,211
2020-02-09,HOUSTON TX,271
2020-02-09,JONESBORO AR,71
2020-02-09,LAKE CHARLES LA,139
2020-02-09,LITTLE ROCK AR,168
2020-02-09,LUBBOCK TX,183
2020-02-09,MONROE-EL DORADO LA-AR,98
2020-02-09,"NEW YORK, NY",6990
2020-02-09,ODESSA-MIDLAND TX,153
2020-02-09,OKLAHOMA CITY OK,143
2020-02-09,PARKERSBURG WV,90
2020-02-09,PHOENIX AZ,227
2020-02-09,RALEIGH-DURHAM NC,112
2020-02-09,SAN ANGELO TX,82
2020-02-09,SHREVEPORT LA,171
2020-02-09,SPRINGFIELD MO,100
2020-02-09,ST JOSEPH MO,38
2020-02-09,TULSA OK,65
2020-02-09,TYLER-LONGVIEW TX,270
2020-02-09,VICTORIA TX,86
2020-02-09,WACO-TEMPLE-BRYAN TX,144
2020-02-16,ABILENE-SWEETWATER TX,72
2020-02-16,ALEXANDRIA LA,136
2020-02-16,AMARILLO TX,163
2020-02-16,AUSTIN TX,112
2020-02-16,All Other Suddenlink DMA Total,401
2020-02-16,BLUEFIELD-BECKLEY-OAK HILL WV,136
2020-02-16,CHARLESTON-HUNTINGTON WV,282
2020-02-16,DALLAS-FT WORTH TX,344
2020-02-16,EUREKA CA,77
2020-02-16,GREENVILLE-NEW BERN-WASH NC,243
2020-02-16,HOUSTON TX,243
2020-02-16,JONESBORO AR,79
2020-02-16,LAKE CHARLES LA,151
2020-02-16,LITTLE ROCK AR,157
2020-02-16,LUBBOCK TX,171
2020-02-16,MONROE-EL DORADO LA-AR,88
2020-02-16,"NEW YORK, NY",7105
2020-02-16,ODESSA-MIDLAND TX,143
2020-02-16,OKLAHOMA CITY OK,130
2020-02-16,PARKERSBURG WV,56
2020-02-16,PHOENIX AZ,202
2020-02-16,RALEIGH-DURHAM NC,110
2020-02-16,SAN ANGELO TX,92
2020-02-16,SHREVEPORT LA,163
2020-02-16,SPRINGFIELD MO,101
2020-02-16,ST JOSEPH MO,55
2020-02-16,TULSA OK,46
2020-02-16,TYLER-LONGVIEW TX,261
2020-02-16,VICTORIA TX,67
2020-02-16,WACO-TEMPLE-BRYAN TX,95
2020-02-23,ABILENE-SWEETWATER TX,161
2020-02-23,ALEXANDRIA LA,227
2020-02-23,AMARILLO TX,224
2020-02-23,AUSTIN TX,134
2020-02-23,All Other Suddenlink DMA Total,484
2020-02-23,BLUEFIELD-BECKLEY-OAK HILL WV,254
2020-02-23,CHARLESTON-HUNTINGTON WV,388
2020-02-23,DALLAS-FT WORTH TX,399
2020-02-23,EUREKA CA,63
2020-02-23,GREENVILLE-NEW BERN-WASH NC,363
2020-02-23,HOUSTON TX,318
2020-02-23,JONESBORO AR,96
2020-02-23,LAKE CHARLES LA,182
2020-02-23,LITTLE ROCK AR,223
2020-02-23,LUBBOCK TX,297
2020-02-23,MONROE-EL DORADO LA-AR,120
2020-02-23,"NEW YORK, NY",8556
2020-02-23,ODESSA-MIDLAND TX,181
2020-02-23,OKLAHOMA CITY OK,167
2020-02-23,PARKERSBURG WV,110
2020-02-23,PHOENIX AZ,253
2020-02-23,RALEIGH-DURHAM NC,127
2020-02-23,SAN ANGELO TX,99
2020-02-23,SHREVEPORT LA,226
2020-02-23,SPRINGFIELD MO,132
2020-02-23,ST JOSEPH MO,90
2020-02-23,TULSA OK,86
2020-02-23,TYLER-LONGVIEW TX,430
2020-02-23,VICTORIA TX,87
2020-02-23,WACO-TEMPLE-BRYAN TX,153
2020-03-01,ABILENE-SWEETWATER TX,176
2020-03-01,ALEXANDRIA LA,196
2020-03-01,AMARILLO TX,276
2020-03-01,AUSTIN TX,128
2020-03-01,All Other Suddenlink DMA Total,488
2020-03-01,BLUEFIELD-BECKLEY-OAK HILL WV,214
2020-03-01,CHARLESTON-HUNTINGTON WV,357
2020-03-01,DALLAS-FT WORTH TX,453
2020-03-01,EUREKA CA,77
2020-03-01,GREENVILLE-NEW BERN-WASH NC,331
2020-03-01,HOUSTON TX,335
2020-03-01,JONESBORO AR,97
2020-03-01,LAKE CHARLES LA,230
2020-03-01,LITTLE ROCK AR,276
2020-03-01,LUBBOCK TX,305
2020-03-01,MONROE-EL DORADO LA-AR,119
2020-03-01,"NEW YORK, NY",8706
2020-03-01,ODESSA-MIDLAND TX,209
2020-03-01,OKLAHOMA CITY OK,174
2020-03-01,PARKERSBURG WV,109
2020-03-01,PHOENIX AZ,270
2020-03-01,RALEIGH-DURHAM NC,173
2020-03-01,SAN ANGELO TX,119
2020-03-01,SHREVEPORT LA,244
2020-03-01,SPRINGFIELD MO,176
2020-03-01,ST JOSEPH MO,75
2020-03-01,TULSA OK,81
2020-03-01,TYLER-LONGVIEW TX,457
2020-03-01,VICTORIA TX,101
2020-03-01,WACO-TEMPLE-BRYAN TX,174
2020-03-08,ABILENE-SWEETWATER TX,147
2020-03-08,ALEXANDRIA LA,206
2020-03-08,AMARILLO TX,245
2020-03-08,AUSTIN TX,133
2020-03-08,All Other Suddenlink DMA Total,461
2020-03-08,BLUEFIELD-BECKLEY-OAK HILL WV,171
2020-03-08,CHARLESTON-HUNTINGTON WV,345
2020-03-08,DALLAS-FT WORTH TX,407
2020-03-08,EUREKA CA,68
2020-03-08,GREENVILLE-NEW BERN-WASH NC,291
2020-03-08,HOUSTON TX,327
2020-03-08,JONESBORO AR,83
2020-03-08,LAKE CHARLES LA,182
2020-03-08,LITTLE ROCK AR,252
2020-03-08,LUBBOCK TX,275
2020-03-08,MONROE-EL DORADO LA-AR,106
2020-03-08,"NEW YORK, NY",9215
2020-03-08,ODESSA-MIDLAND TX,161
2020-03-08,OKLAHOMA CITY OK,149
2020-03-08,PARKERSBURG WV,109
2020-03-08,PHOENIX AZ,218
2020-03-08,RALEIGH-DURHAM NC,140
2020-03-08,SAN ANGELO TX,93
2020-03-08,SHREVEPORT LA,239
2020-03-08,SPRINGFIELD MO,156
2020-03-08,ST JOSEPH MO,87
2020-03-08,TULSA OK,87
2020-03-08,TYLER-LONGVIEW TX,387
2020-03-08,VICTORIA TX,101
2020-03-08,WACO-TEMPLE-BRYAN TX,146
2020-03-15,ABILENE-SWEETWATER TX,336
2020-03-15,ALEXANDRIA LA,218
2020-03-15,AMARILLO TX,361
2020-03-15,AUSTIN TX,209
2020-03-15,All Other Suddenlink DMA Total,688
2020-03-15,BLUEFIELD-BECKLEY-OAK HILL WV,418
2020-03-15,CHARLESTON-HUNTINGTON WV,668
2020-03-15,DALLAS-FT WORTH TX,709
2020-03-15,EUREKA CA,180
2020-03-15,GREENVILLE-NEW BERN-WASH NC,896
2020-03-15,HOUSTON TX,482
2020-03-15,JONESBORO AR,141
2020-03-15,LAKE CHARLES LA,270
2020-03-15,LITTLE ROCK AR,352
2020-03-15,LUBBOCK TX,749
2020-03-15,MONROE-EL DORADO LA-AR,148
2020-03-15,"NEW YORK, NY",12323
2020-03-15,ODESSA-MIDLAND TX,278
2020-03-15,OKLAHOMA CITY OK,180
2020-03-15,PARKERSBURG WV,166
2020-03-15,PHOENIX AZ,296
2020-03-15,RALEIGH-DURHAM NC,249
2020-03-15,SAN ANGELO TX,212
2020-03-15,SHREVEPORT LA,304
2020-03-15,SPRINGFIELD MO,221
2020-03-15,ST JOSEPH MO,166
2020-03-15,TULSA OK,84
2020-03-15,TYLER-LONGVIEW TX,706
2020-03-15,VICTORIA TX,105
2020-03-15,WACO-TEMPLE-BRYAN TX,469
2020-03-22,ABILENE-SWEETWATER TX,295
2020-03-22,ALEXANDRIA LA,206
2020-03-22,AMARILLO TX,527
2020-03-22,AUSTIN TX,277
2020-03-22,All Other Suddenlink DMA Total,569
2020-03-22,BLUEFIELD-BECKLEY-OAK HILL WV,223
2020-03-22,CHARLESTON-HUNTINGTON WV,512
2020-03-22,DALLAS-FT WORTH TX,680
2020-03-22,EUREKA CA,141
2020-03-22,GREENVILLE-NEW BERN-WASH NC,567
2020-03-22,HOUSTON TX,491
2020-03-22,JONESBORO AR,143
2020-03-22,LAKE CHARLES LA,201
2020-03-22,LITTLE ROCK AR,297
2020-03-22,LUBBOCK TX,766
2020-03-22,MONROE-EL DORADO LA-AR,119
2020-03-22,"NEW YORK, NY",9849
2020-03-22,ODESSA-MIDLAND TX,174
2020-03-22,OKLAHOMA CITY OK,199
2020-03-22,PARKERSBURG WV,130
2020-03-22,PHOENIX AZ,400
2020-03-22,RALEIGH-DURHAM NC,272
2020-03-22,SAN ANGELO TX,240
2020-03-22,SHREVEPORT LA,246
2020-03-22,SPRINGFIELD MO,328
2020-03-22,ST JOSEPH MO,135
2020-03-22,TULSA OK,90
2020-03-22,TYLER-LONGVIEW TX,682
2020-03-22,VICTORIA TX,294
2020-03-22,WACO-TEMPLE-BRYAN TX,501
2020-03-29,ABILENE-SWEETWATER TX,220
2020-03-29,ALEXANDRIA LA,174
2020-03-29,AMARILLO TX,390
2020-03-29,AUSTIN TX,238
2020-03-29,All Other Suddenlink DMA Total,515
2020-03-29,BLUEFIELD-BECKLEY-OAK HILL WV,193
2020-03-29,CHARLESTON-HUNTINGTON WV,334
2020-03-29,DALLAS-FT WORTH TX,488
2020-03-29,EUREKA CA,76
2020-03-29,GREENVILLE-NEW BERN-WASH NC,457
2020-03-29,HOUSTON TX,407
2020-03-29,JONESBORO AR,117
2020-03-29,LAKE CHARLES LA,195
2020-03-29,LITTLE ROCK AR,267
2020-03-29,LUBBOCK TX,525
2020-03-29,MONROE-EL DORADO LA-AR,94
2020-03-29,"NEW YORK, NY",7625
2020-03-29,ODESSA-MIDLAND TX,184
2020-03-29,OKLAHOMA CITY OK,279
2020-03-29,PARKERSBURG WV,90
2020-03-29,PHOENIX AZ,351
2020-03-29,RALEIGH-DURHAM NC,168
2020-03-29,SAN ANGELO TX,145
2020-03-29,SHREVEPORT LA,225
2020-03-29,SPRINGFIELD MO,256
2020-03-29,ST JOSEPH MO,99
2020-03-29,TULSA OK,90
2020-03-29,TYLER-LONGVIEW TX,523
2020-03-29,VICTORIA TX,144
2020-03-29,WACO-TEMPLE-BRYAN TX,301
2020-04-05,ABILENE-SWEETWATER TX,139
2020-04-05,ALEXANDRIA LA,137
2020-04-05,AMARILLO TX,217
2020-04-05,AUSTIN TX,166
2020-04-05,All Other Suddenlink DMA Total,389
2020-04-05,BLUEFIELD-BECKLEY-OAK HILL WV,164
2020-04-05,CHARLESTON-HUNTINGTON WV,223
2020-04-05,DALLAS-FT WORTH TX,351
2020-04-05,EUREKA CA,61
2020-04-05,GREENVILLE-NEW BERN-WASH NC,295
2020-04-05,HOUSTON TX,328
2020-04-05,JONESBORO AR,103
2020-04-05,LAKE CHARLES LA,152
2020-04-05,LITTLE ROCK AR,225
2020-04-05,LUBBOCK TX,280
2020-04-05,MONROE-EL DORADO LA-AR,84
2020-04-05,"NEW YORK, NY",6118
2020-04-05,ODESSA-MIDLAND TX,181
2020-04-05,OKLAHOMA CITY OK,172
2020-04-05,PARKERSBURG WV,91
2020-04-05,PHOENIX AZ,256
2020-04-05,RALEIGH-DURHAM NC,107
2020-04-05,SAN ANGELO TX,99
2020-04-05,SHREVEPORT LA,166
2020-04-05,SPRINGFIELD MO,164
2020-04-05,ST JOSEPH MO,85
2020-04-05,TULSA OK,64
