period,mmm_b2c_acq_dma,inbound_call_volume
2018-03-11,DALLAS-FT WORTH TX,385
2018-03-11,EUREKA CA,61
2018-03-11,GREENVILLE-NEW BERN-WASH NC,398
2018-03-11,HOUSTON TX,372
2018-03-11,JONESBORO AR,143
2018-03-11,LAKE CHARLES LA,218
2018-03-11,LITTLE ROCK AR,266
2018-03-11,LUBBOCK TX,387
2018-03-11,MONROE-EL DORADO LA-AR,102
2018-03-11,"NEW YORK, NY",8653
2018-03-11,ODESSA-MIDLAND TX,215
2018-03-11,OKLAHOMA CITY OK,199
2018-03-11,PARKERSBURG WV,174
2018-03-11,PHOENIX AZ,270
2018-03-11,RALEIGH-DURHAM NC,173
2018-03-11,SAN ANGELO TX,163
2018-03-11,SHREVEPORT LA,227
2018-03-11,SPRINGFIELD MO,154
2018-03-11,ST JOSEPH MO,78
2018-03-11,TULSA OK,74
2018-03-11,TYLER-LONGVIEW TX,457
2018-03-11,VICTORIA TX,82
2018-03-11,WACO-TEMPLE-BRYAN TX,167
2018-03-18,ABILENE-SWEETWATER TX,173
2018-03-18,ALEXANDRIA LA,225
2018-03-18,AMARILLO TX,343
2018-03-18,AUSTIN TX,126
2018-03-18,All Other Suddenlink DMA Total,623
2018-03-18,BLUEFIELD-BECKLEY-OAK HILL WV,297
2018-03-18,CHARLESTON-HUNTINGTON WV,504
2018-03-18,DALLAS-FT WORTH TX,414
2018-03-18,EUREKA CA,82
2018-03-18,GREENVILLE-NEW BERN-WASH NC,369
2018-03-18,HOUSTON TX,336
2018-03-18,JONESBORO AR,104
2018-03-18,LAKE CHARLES LA,204
2018-03-18,LITTLE ROCK AR,247
2018-03-18,LUBBOCK TX,311
2018-03-18,MONROE-EL DORADO LA-AR,77
2018-03-18,"NEW YORK, NY",8930
2018-03-18,ODESSA-MIDLAND TX,220
2018-03-18,OKLAHOMA CITY OK,162
2018-03-18,PARKERSBURG WV,139
2018-03-18,PHOENIX AZ,267
2018-03-18,RALEIGH-DURHAM NC,166
2018-03-18,SAN ANGELO TX,113
2018-03-18,SHREVEPORT LA,219
2018-03-18,SPRINGFIELD MO,163
2018-03-18,ST JOSEPH MO,74
2018-03-18,TULSA OK,69
2018-03-18,TYLER-LONGVIEW TX,402
2018-03-18,VICTORIA TX,66
2018-03-18,WACO-TEMPLE-BRYAN TX,169
2018-03-25,ABILENE-SWEETWATER TX,121
2018-03-25,ALEXANDRIA LA,143
2018-03-25,AMARILLO TX,252
2018-03-25,AUSTIN TX,100
2018-03-25,All Other Suddenlink DMA Total,484
2018-03-25,BLUEFIELD-BECKLEY-OAK HILL WV,184
2018-03-25,CHARLESTON-HUNTINGTON WV,426
2018-03-25,DALLAS-FT WORTH TX,332
2018-03-25,EUREKA CA,63
2018-03-25,GREENVILLE-NEW BERN-WASH NC,299
2018-03-25,HOUSTON TX,242
2018-03-25,JONESBORO AR,80
2018-03-25,LAKE CHARLES LA,179
2018-03-25,LITTLE ROCK AR,194
2018-03-25,LUBBOCK TX,267
2018-03-25,MONROE-EL DORADO LA-AR,69
2018-03-25,"NEW YORK, NY",9601
2018-03-25,ODESSA-MIDLAND TX,160
2018-03-25,OKLAHOMA CITY OK,116
2018-03-25,PARKERSBURG WV,97
2018-03-25,PHOENIX AZ,238
2018-03-25,RALEIGH-DURHAM NC,126
2018-03-25,SAN ANGELO TX,95
2018-03-25,SHREVEPORT LA,182
2018-03-25,SPRINGFIELD MO,130
2018-03-25,ST JOSEPH MO,59
2018-03-25,TULSA OK,68
2018-03-25,TYLER-LONGVIEW TX,288
2018-03-25,VICTORIA TX,33
2018-03-25,WACO-TEMPLE-BRYAN TX,126
2018-04-01,ABILENE-SWEETWATER TX,157
2018-04-01,ALEXANDRIA LA,234
2018-04-01,AMARILLO TX,366
2018-04-01,AUSTIN TX,176
2018-04-01,All Other Suddenlink DMA Total,607
2018-04-01,BLUEFIELD-BECKLEY-OAK HILL WV,193
2018-04-01,CHARLESTON-HUNTINGTON WV,504
2018-04-01,DALLAS-FT WORTH TX,450
2018-04-01,EUREKA CA,77
2018-04-01,GREENVILLE-NEW BERN-WASH NC,487
2018-04-01,HOUSTON TX,382
2018-04-01,JONESBORO AR,110
2018-04-01,LAKE CHARLES LA,211
2018-04-01,LITTLE ROCK AR,229
2018-04-01,LUBBOCK TX,326
2018-04-01,MONROE-EL DORADO LA-AR,99
2018-04-01,"NEW YORK, NY",9192
2018-04-01,ODESSA-MIDLAND TX,217
2018-04-01,OKLAHOMA CITY OK,190
2018-04-01,PARKERSBURG WV,120
2018-04-01,PHOENIX AZ,425
2018-04-01,RALEIGH-DURHAM NC,244
2018-04-01,SAN ANGELO TX,112
2018-04-01,SHREVEPORT LA,222
2018-04-01,SPRINGFIELD MO,147
2018-04-01,ST JOSEPH MO,72
2018-04-01,TULSA OK,82
2018-04-01,TYLER-LONGVIEW TX,357
2018-04-01,VICTORIA TX,66
2018-04-01,WACO-TEMPLE-BRYAN TX,162
2018-04-08,ABILENE-SWEETWATER TX,150
2018-04-08,ALEXANDRIA LA,168
2018-04-08,AMARILLO TX,262
2018-04-08,AUSTIN TX,173
2018-04-08,All Other Suddenlink DMA Total,581
2018-04-08,BLUEFIELD-BECKLEY-OAK HILL WV,209
2018-04-08,CHARLESTON-HUNTINGTON WV,404
2018-04-08,DALLAS-FT WORTH TX,416
