period,mmm_b2c_acq_dma,unique_pageviews,users
2020-11-08,WACO-TEMPLE-BRYAN TX,792.0,718.0
2020-11-15,ABILENE-SWEETWATER TX,675.0,598.0
2020-11-15,ALEXANDRIA LA,657.0,591.0
2020-11-15,AMARILLO TX,952.0,862.0
2020-11-15,AUSTIN TX,1541.0,1361.0
2020-11-15,All Other Suddenlink DMA Total,3183.0,2831.0
2020-11-15,BLUEFIELD-BECKLEY-OAK HILL WV,885.0,794.0
2020-11-15,CHARLESTON-HUNTINGTON WV,1668.0,1503.0
2020-11-15,DALLAS-FT WORTH TX,2825.0,2513.0
2020-11-15,EUREKA CA,463.0,409.0
2020-11-15,GREENVILLE-NEW BERN-WASH NC,1548.0,1378.0
2020-11-15,HOUSTON TX,2359.0,2096.0
2020-11-15,JONESBORO AR,393.0,359.0
2020-11-15,LAKE CHARLES LA,738.0,666.0
2020-11-15,LITTLE ROCK AR,1498.0,1324.0
2020-11-15,LUBBOCK TX,970.0,890.0
2020-11-15,MONROE-EL DORADO LA-AR,387.0,347.0
2020-11-15,"NEW YORK, NY",35071.0,31213.0
2020-11-15,ODESSA-MIDLAND TX,689.0,619.0
2020-11-15,OKLAHOMA CITY OK,951.0,849.0
2020-11-15,PARKERSBURG WV,605.0,542.0
2020-11-15,PHOENIX AZ,1704.0,1512.0
2020-11-15,RALEIGH-DURHAM NC,516.0,466.0
2020-11-15,SAN ANGELO TX,423.0,381.0
2020-11-15,SHREVEPORT LA,887.0,790.0
2020-11-15,SPRINGFIELD MO,1137.0,990.0
2020-11-15,ST JOSEPH MO,263.0,241.0
2020-11-15,TULSA OK,358.0,314.0
2020-11-15,TYLER-LONGVIEW TX,1923.0,1729.0
2020-11-15,VICTORIA TX,272.0,233.0
2020-11-15,WACO-TEMPLE-BRYAN TX,869.0,788.0
2020-11-22,ABILENE-SWEETWATER TX,614.0,563.0
2020-11-22,ALEXANDRIA LA,621.0,561.0
2020-11-22,AMARILLO TX,853.0,767.0
2020-11-22,AUSTIN TX,1397.0,1236.0
2020-11-22,All Other Suddenlink DMA Total,2892.0,2575.0
2020-11-22,BLUEFIELD-BECKLEY-OAK HILL WV,790.0,709.0
2020-11-22,CHARLESTON-HUNTINGTON WV,1452.0,1322.0
2020-11-22,DALLAS-FT WORTH TX,2565.0,2267.0
2020-11-22,EUREKA CA,401.0,354.0
2020-11-22,GREENVILLE-NEW BERN-WASH NC,1307.0,1185.0
2020-11-22,HOUSTON TX,2149.0,1905.0
2020-11-22,JONESBORO AR,376.0,348.0
2020-11-22,LAKE CHARLES LA,621.0,553.0
2020-11-22,LITTLE ROCK AR,1309.0,1171.0
2020-11-22,LUBBOCK TX,946.0,874.0
2020-11-22,MONROE-EL DORADO LA-AR,367.0,334.0
2020-11-22,"NEW YORK, NY",34004.0,30149.0
2020-11-22,ODESSA-MIDLAND TX,619.0,562.0
2020-11-22,OKLAHOMA CITY OK,795.0,703.0
2020-11-22,PARKERSBURG WV,529.0,467.0
2020-11-22,PHOENIX AZ,1444.0,1296.0
2020-11-22,RALEIGH-DURHAM NC,455.0,415.0
2020-11-22,SAN ANGELO TX,446.0,397.0
2020-11-22,SHREVEPORT LA,774.0,700.0
2020-11-22,SPRINGFIELD MO,1058.0,930.0
2020-11-22,ST JOSEPH MO,283.0,250.0
2020-11-22,TULSA OK,272.0,247.0
2020-11-22,TYLER-LONGVIEW TX,1932.0,1726.0
2020-11-22,VICTORIA TX,280.0,253.0
2020-11-22,WACO-TEMPLE-BRYAN TX,797.0,711.0
2020-11-29,ABILENE-SWEETWATER TX,797.0,722.0
2020-11-29,ALEXANDRIA LA,717.0,645.0
2020-11-29,AMARILLO TX,1019.0,927.0
2020-11-29,AUSTIN TX,1797.0,1618.0
2020-11-29,All Other Suddenlink DMA Total,3725.0,3278.0
2020-11-29,BLUEFIELD-BECKLEY-OAK HILL WV,1012.0,920.0
2020-11-29,CHARLESTON-HUNTINGTON WV,1847.0,1659.0
2020-11-29,DALLAS-FT WORTH TX,3210.0,2828.0
2020-11-29,EUREKA CA,509.0,451.0
2020-11-29,GREENVILLE-NEW BERN-WASH NC,1726.0,1557.0
2020-11-29,HOUSTON TX,2476.0,2218.0
2020-11-29,JONESBORO AR,432.0,397.0
2020-11-29,LAKE CHARLES LA,720.0,634.0
2020-11-29,LITTLE ROCK AR,1880.0,1674.0
2020-11-29,LUBBOCK TX,1210.0,1088.0
2020-11-29,MONROE-EL DORADO LA-AR,437.0,379.0
2020-11-29,"NEW YORK, NY",38320.0,33976.0
2020-11-29,ODESSA-MIDLAND TX,837.0,745.0
2020-11-29,OKLAHOMA CITY OK,948.0,862.0
2020-11-29,PARKERSBURG WV,563.0,514.0
2020-11-29,PHOENIX AZ,1881.0,1624.0
2020-11-29,RALEIGH-DURHAM NC,539.0,486.0
2020-11-29,SAN ANGELO TX,545.0,486.0
2020-11-29,SHREVEPORT LA,957.0,846.0
2020-11-29,SPRINGFIELD MO,1243.0,1121.0
2020-11-29,ST JOSEPH MO,349.0,306.0
2020-11-29,TULSA OK,369.0,328.0
2020-11-29,TYLER-LONGVIEW TX,2311.0,2073.0
2020-11-29,VICTORIA TX,290.0,265.0
2020-11-29,WACO-TEMPLE-BRYAN TX,950.0,843.0
2020-12-06,ABILENE-SWEETWATER TX,756.0,659.0
2020-12-06,ALEXANDRIA LA,635.0,570.0
2020-12-06,AMARILLO TX,922.0,842.0
2020-12-06,AUSTIN TX,1643.0,1454.0
2020-12-06,All Other Suddenlink DMA Total,3226.0,2828.0
2020-12-06,BLUEFIELD-BECKLEY-OAK HILL WV,997.0,887.0
2020-12-06,CHARLESTON-HUNTINGTON WV,1783.0,1610.0
2020-12-06,DALLAS-FT WORTH TX,2992.0,2664.0
2020-12-06,EUREKA CA,473.0,405.0
2020-12-06,GREENVILLE-NEW BERN-WASH NC,1520.0,1365.0
2020-12-06,HOUSTON TX,2321.0,2058.0
2020-12-06,JONESBORO AR,442.0,397.0
2020-12-06,LAKE CHARLES LA,635.0,549.0
2020-12-06,LITTLE ROCK AR,1710.0,1515.0
2020-12-06,LUBBOCK TX,1039.0,934.0
2020-12-06,MONROE-EL DORADO LA-AR,402.0,359.0
2020-12-06,"NEW YORK, NY",33050.0,29457.0
2020-12-06,ODESSA-MIDLAND TX,710.0,642.0
2020-12-06,OKLAHOMA CITY OK,876.0,788.0
2020-12-06,PARKERSBURG WV,628.0,568.0
2020-12-06,PHOENIX AZ,1703.0,1501.0
2020-12-06,RALEIGH-DURHAM NC,534.0,488.0
2020-12-06,SAN ANGELO TX,513.0,463.0
2020-12-06,SHREVEPORT LA,887.0,791.0
2020-12-06,SPRINGFIELD MO,1157.0,1022.0
2020-12-06,ST JOSEPH MO,346.0,301.0
2020-12-06,TULSA OK,335.0,293.0
2020-12-06,TYLER-LONGVIEW TX,2227.0,1995.0
2020-12-06,VICTORIA TX,262.0,241.0
2020-12-06,WACO-TEMPLE-BRYAN TX,989.0,855.0
2020-12-13,ABILENE-SWEETWATER TX,732.0,646.0
2020-12-13,ALEXANDRIA LA,602.0,540.0
2020-12-13,AMARILLO TX,919.0,819.0
2020-12-13,AUSTIN TX,1550.0,1395.0
2020-12-13,All Other Suddenlink DMA Total,3148.0,2793.0
2020-12-13,BLUEFIELD-BECKLEY-OAK HILL WV,856.0,773.0
2020-12-13,CHARLESTON-HUNTINGTON WV,1757.0,1574.0
2020-12-13,DALLAS-FT WORTH TX,2945.0,2607.0
2020-12-13,EUREKA CA,400.0,366.0
2020-12-13,GREENVILLE-NEW BERN-WASH NC,1324.0,1199.0
2020-12-13,HOUSTON TX,2299.0,2061.0
2020-12-13,JONESBORO AR,375.0,348.0
2020-12-13,LAKE CHARLES LA,586.0,523.0
2020-12-13,LITTLE ROCK AR,1481.0,1308.0
2020-12-13,LUBBOCK TX,963.0,864.0
2020-12-13,MONROE-EL DORADO LA-AR,414.0,367.0
2020-12-13,"NEW YORK, NY",30268.0,27024.0
2020-12-13,ODESSA-MIDLAND TX,628.0,560.0
2020-12-13,OKLAHOMA CITY OK,795.0,718.0
2020-12-13,PARKERSBURG WV,539.0,492.0
2020-12-13,PHOENIX AZ,1583.0,1398.0
2020-12-13,RALEIGH-DURHAM NC,460.0,421.0
2020-12-13,SAN ANGELO TX,472.0,415.0
2020-12-13,SHREVEPORT LA,897.0,788.0
2020-12-13,SPRINGFIELD MO,1101.0,975.0
2020-12-13,ST JOSEPH MO,340.0,301.0
2020-12-13,TULSA OK,322.0,286.0
2020-12-13,TYLER-LONGVIEW TX,2181.0,1955.0
2020-12-13,VICTORIA TX,263.0,242.0
2020-12-13,WACO-TEMPLE-BRYAN TX,867.0,783.0
2020-12-20,ABILENE-SWEETWATER TX,576.0,506.0
2020-12-20,ALEXANDRIA LA,466.0,434.0
2020-12-20,AMARILLO TX,679.0,619.0
2020-12-20,AUSTIN TX,1213.0,1082.0
2020-12-20,All Other Suddenlink DMA Total,2538.0,2270.0
2020-12-20,BLUEFIELD-BECKLEY-OAK HILL WV,656.0,570.0
2020-12-20,CHARLESTON-HUNTINGTON WV,1285.0,1170.0
2020-12-20,DALLAS-FT WORTH TX,2419.0,2149.0
2020-12-20,EUREKA CA,319.0,285.0
2020-12-20,GREENVILLE-NEW BERN-WASH NC,1152.0,1045.0
2020-12-20,HOUSTON TX,1741.0,1556.0
2020-12-20,JONESBORO AR,329.0,299.0
2020-12-20,LAKE CHARLES LA,443.0,405.0
2020-12-20,LITTLE ROCK AR,1232.0,1108.0
2020-12-20,LUBBOCK TX,830.0,745.0
2020-12-20,MONROE-EL DORADO LA-AR,288.0,260.0
2020-12-20,"NEW YORK, NY",26239.0,23402.0
2020-12-20,ODESSA-MIDLAND TX,481.0,425.0
2020-12-20,OKLAHOMA CITY OK,677.0,597.0
2020-12-20,PARKERSBURG WV,462.0,420.0
2020-12-20,PHOENIX AZ,1321.0,1190.0
2020-12-20,RALEIGH-DURHAM NC,400.0,358.0
2020-12-20,SAN ANGELO TX,350.0,317.0
2020-12-20,SHREVEPORT LA,636.0,573.0
2020-12-20,SPRINGFIELD MO,877.0,772.0
2020-12-20,ST JOSEPH MO,227.0,200.0
2020-12-20,TULSA OK,281.0,254.0
2020-12-20,TYLER-LONGVIEW TX,1649.0,1495.0
2020-12-20,VICTORIA TX,212.0,195.0
2020-12-20,WACO-TEMPLE-BRYAN TX,748.0,664.0
2020-12-27,ABILENE-SWEETWATER TX,690.0,620.0
2020-12-27,ALEXANDRIA LA,713.0,637.0
2020-12-27,AMARILLO TX,936.0,844.0
2020-12-27,AUSTIN TX,1747.0,1533.0
2020-12-27,All Other Suddenlink DMA Total,3531.0,3105.0
2020-12-27,BLUEFIELD-BECKLEY-OAK HILL WV,964.0,876.0
2020-12-27,CHARLESTON-HUNTINGTON WV,1929.0,1721.0
2020-12-27,DALLAS-FT WORTH TX,3155.0,2785.0
2020-12-27,EUREKA CA,472.0,408.0
2020-12-27,GREENVILLE-NEW BERN-WASH NC,1633.0,1457.0
2020-12-27,HOUSTON TX,2321.0,2072.0
2020-12-27,JONESBORO AR,479.0,440.0
2020-12-27,LAKE CHARLES LA,624.0,578.0
2020-12-27,LITTLE ROCK AR,1665.0,1487.0
2020-12-27,LUBBOCK TX,1094.0,979.0
2020-12-27,MONROE-EL DORADO LA-AR,409.0,370.0
2020-12-27,"NEW YORK, NY",34202.0,30188.0
2020-12-27,ODESSA-MIDLAND TX,633.0,574.0
2020-12-27,OKLAHOMA CITY OK,974.0,881.0
2020-12-27,PARKERSBURG WV,683.0,606.0
