period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2019-07-14,EUREKA CA,172,119
2019-07-14,GREENVILLE-NEW BERN-WASH NC,581,484
2019-07-14,HOUSTON TX,591,504
2019-07-14,JONESBORO AR,200,147
2019-07-14,LAKE CHARLES LA,289,242
2019-07-14,LITTLE ROCK AR,407,340
2019-07-14,LUBBOCK TX,542,418
2019-07-14,MONROE-EL DORADO LA-AR,135,109
2019-07-14,ODESSA-MIDLAND TX,264,224
2019-07-14,OKLAHOMA CITY OK,313,242
2019-07-14,PARKERSBURG WV,172,136
2019-07-14,PHOENIX AZ,564,436
2019-07-14,RALEIGH-DURHAM NC,160,140
2019-07-14,SAN ANGELO TX,239,174
2019-07-14,SHREVEPORT LA,302,264
2019-07-14,SPRINGFIELD MO,262,214
2019-07-14,ST JOSEPH MO,125,91
2019-07-14,TULSA OK,98,73
2019-07-14,TYLER-LONGVIEW TX,676,508
2019-07-14,VICTORIA TX,137,99
2019-07-14,WACO-TEMPLE-BRYAN TX,575,399
2019-07-21,ABILENE-SWEETWATER TX,326,230
2019-07-21,ALEXANDRIA LA,256,212
2019-07-21,AMARILLO TX,456,333
2019-07-21,AUSTIN TX,373,333
2019-07-21,All Other Suddenlink DMA Total,641,558
2019-07-21,BLUEFIELD-BECKLEY-OAK HILL WV,262,213
2019-07-21,CHARLESTON-HUNTINGTON WV,505,401
2019-07-21,DALLAS-FT WORTH TX,564,498
2019-07-21,EUREKA CA,190,148
2019-07-21,GREENVILLE-NEW BERN-WASH NC,591,490
2019-07-21,HOUSTON TX,596,519
2019-07-21,JONESBORO AR,198,146
2019-07-21,LAKE CHARLES LA,253,200
2019-07-21,LITTLE ROCK AR,369,290
2019-07-21,LUBBOCK TX,580,436
2019-07-21,MONROE-EL DORADO LA-AR,162,130
2019-07-21,ODESSA-MIDLAND TX,259,215
2019-07-21,OKLAHOMA CITY OK,320,255
2019-07-21,PARKERSBURG WV,166,130
2019-07-21,PHOENIX AZ,536,420
2019-07-21,RALEIGH-DURHAM NC,166,143
2019-07-21,SAN ANGELO TX,268,194
2019-07-21,SHREVEPORT LA,337,275
2019-07-21,SPRINGFIELD MO,259,206
2019-07-21,ST JOSEPH MO,119,78
2019-07-21,TULSA OK,103,85
2019-07-21,TYLER-LONGVIEW TX,658,504
2019-07-21,VICTORIA TX,111,70
2019-07-21,WACO-TEMPLE-BRYAN TX,744,534
2019-07-28,ABILENE-SWEETWATER TX,352,241
2019-07-28,ALEXANDRIA LA,269,205
2019-07-28,AMARILLO TX,521,372
2019-07-28,AUSTIN TX,379,343
2019-07-28,All Other Suddenlink DMA Total,743,622
2019-07-28,BLUEFIELD-BECKLEY-OAK HILL WV,303,234
2019-07-28,CHARLESTON-HUNTINGTON WV,528,413
2019-07-28,DALLAS-FT WORTH TX,597,505
2019-07-28,EUREKA CA,225,158
2019-07-28,GREENVILLE-NEW BERN-WASH NC,732,606
2019-07-28,HOUSTON TX,643,540
2019-07-28,JONESBORO AR,217,164
2019-07-28,LAKE CHARLES LA,323,248
2019-07-28,LITTLE ROCK AR,399,317
2019-07-28,LUBBOCK TX,647,484
2019-07-28,MONROE-EL DORADO LA-AR,219,170
2019-07-28,ODESSA-MIDLAND TX,293,224
2019-07-28,OKLAHOMA CITY OK,523,386
2019-07-28,PARKERSBURG WV,215,162
2019-07-28,PHOENIX AZ,654,510
2019-07-28,RALEIGH-DURHAM NC,182,148
2019-07-28,SAN ANGELO TX,308,213
2019-07-28,SHREVEPORT LA,400,324
2019-07-28,SPRINGFIELD MO,260,213
2019-07-28,ST JOSEPH MO,139,98
2019-07-28,TULSA OK,103,80
2019-07-28,TYLER-LONGVIEW TX,845,609
2019-07-28,VICTORIA TX,141,95
2019-07-28,WACO-TEMPLE-BRYAN TX,1181,823
2019-08-04,ABILENE-SWEETWATER TX,367,266
2019-08-04,ALEXANDRIA LA,260,219
2019-08-04,AMARILLO TX,555,432
2019-08-04,AUSTIN TX,395,352
2019-08-04,All Other Suddenlink DMA Total,706,612
2019-08-04,BLUEFIELD-BECKLEY-OAK HILL WV,242,196
2019-08-04,CHARLESTON-HUNTINGTON WV,524,433
2019-08-04,DALLAS-FT WORTH TX,584,528
2019-08-04,EUREKA CA,219,176
2019-08-04,GREENVILLE-NEW BERN-WASH NC,796,661
2019-08-04,HOUSTON TX,605,529
2019-08-04,JONESBORO AR,213,161
2019-08-04,LAKE CHARLES LA,310,248
2019-08-04,LITTLE ROCK AR,449,374
2019-08-04,LUBBOCK TX,658,520
2019-08-04,MONROE-EL DORADO LA-AR,217,173
2019-08-04,ODESSA-MIDLAND TX,300,247
2019-08-04,OKLAHOMA CITY OK,577,487
2019-08-04,PARKERSBURG WV,230,175
2019-08-04,PHOENIX AZ,627,521
2019-08-04,RALEIGH-DURHAM NC,169,149
2019-08-04,SAN ANGELO TX,260,199
2019-08-04,SHREVEPORT LA,382,321
2019-08-04,SPRINGFIELD MO,245,216
2019-08-04,ST JOSEPH MO,137,109
2019-08-04,TULSA OK,119,100
2019-08-04,TYLER-LONGVIEW TX,795,614
2019-08-04,VICTORIA TX,129,93
2019-08-04,WACO-TEMPLE-BRYAN TX,1275,1038
2019-08-11,ABILENE-SWEETWATER TX,434,332
2019-08-11,ALEXANDRIA LA,248,212
2019-08-11,AMARILLO TX,509,400
2019-08-11,AUSTIN TX,363,326
2019-08-11,All Other Suddenlink DMA Total,789,709
2019-08-11,BLUEFIELD-BECKLEY-OAK HILL WV,240,187
2019-08-11,CHARLESTON-HUNTINGTON WV,508,411
2019-08-11,DALLAS-FT WORTH TX,610,559
2019-08-11,EUREKA CA,268,226
2019-08-11,GREENVILLE-NEW BERN-WASH NC,706,598
2019-08-11,HOUSTON TX,638,558
2019-08-11,JONESBORO AR,236,190
2019-08-11,LAKE CHARLES LA,321,278
2019-08-11,LITTLE ROCK AR,495,413
2019-08-11,LUBBOCK TX,774,655
2019-08-11,MONROE-EL DORADO LA-AR,215,186
2019-08-11,ODESSA-MIDLAND TX,315,268
2019-08-11,OKLAHOMA CITY OK,567,492
2019-08-11,PARKERSBURG WV,263,212
2019-08-11,PHOENIX AZ,609,508
2019-08-11,RALEIGH-DURHAM NC,151,132
2019-08-11,SAN ANGELO TX,267,210
2019-08-11,SHREVEPORT LA,360,317
2019-08-11,SPRINGFIELD MO,272,235
2019-08-11,ST JOSEPH MO,133,107
2019-08-11,TULSA OK,113,96
2019-08-11,TYLER-LONGVIEW TX,798,652
2019-08-11,VICTORIA TX,166,128
2019-08-11,WACO-TEMPLE-BRYAN TX,1214,1044
2019-08-18,ABILENE-SWEETWATER TX,419,354
2019-08-18,ALEXANDRIA LA,242,199
2019-08-18,AMARILLO TX,541,430
2019-08-18,AUSTIN TX,404,364
2019-08-18,All Other Suddenlink DMA Total,830,755
2019-08-18,BLUEFIELD-BECKLEY-OAK HILL WV,235,183
2019-08-18,CHARLESTON-HUNTINGTON WV,564,458
2019-08-18,DALLAS-FT WORTH TX,603,548
2019-08-18,EUREKA CA,315,269
2019-08-18,GREENVILLE-NEW BERN-WASH NC,727,614
2019-08-18,HOUSTON TX,764,664
2019-08-18,JONESBORO AR,249,196
2019-08-18,LAKE CHARLES LA,299,241
2019-08-18,LITTLE ROCK AR,449,381
2019-08-18,LUBBOCK TX,777,660
2019-08-18,MONROE-EL DORADO LA-AR,211,193
2019-08-18,ODESSA-MIDLAND TX,315,263
2019-08-18,OKLAHOMA CITY OK,530,471
2019-08-18,PARKERSBURG WV,233,189
2019-08-18,PHOENIX AZ,690,604
2019-08-18,RALEIGH-DURHAM NC,160,133
2019-08-18,SAN ANGELO TX,326,256
2019-08-18,SHREVEPORT LA,369,328
2019-08-18,SPRINGFIELD MO,282,226
2019-08-18,ST JOSEPH MO,142,111
2019-08-18,TULSA OK,115,95
2019-08-18,TYLER-LONGVIEW TX,931,787
2019-08-18,VICTORIA TX,141,112
2019-08-18,WACO-TEMPLE-BRYAN TX,931,821
2019-08-25,ABILENE-SWEETWATER TX,515,334
2019-08-25,ALEXANDRIA LA,327,252
2019-08-25,AMARILLO TX,823,488
2019-08-25,AUSTIN TX,385,319
2019-08-25,All Other Suddenlink DMA Total,789,635
2019-08-25,BLUEFIELD-BECKLEY-OAK HILL WV,284,236
2019-08-25,CHARLESTON-HUNTINGTON WV,739,611
2019-08-25,DALLAS-FT WORTH TX,754,633
2019-08-25,EUREKA CA,353,260
2019-08-25,GREENVILLE-NEW BERN-WASH NC,614,505
2019-08-25,HOUSTON TX,839,670
2019-08-25,JONESBORO AR,292,181
2019-08-25,LAKE CHARLES LA,431,238
2019-08-25,LITTLE ROCK AR,594,445
2019-08-25,LUBBOCK TX,888,602
2019-08-25,MONROE-EL DORADO LA-AR,270,215
2019-08-25,ODESSA-MIDLAND TX,307,246
2019-08-25,OKLAHOMA CITY OK,449,300
2019-08-25,PARKERSBURG WV,284,231
2019-08-25,PHOENIX AZ,760,543
2019-08-25,RALEIGH-DURHAM NC,218,197
2019-08-25,SAN ANGELO TX,387,247
2019-08-25,SHREVEPORT LA,491,317
2019-08-25,SPRINGFIELD MO,324,249
2019-08-25,ST JOSEPH MO,189,125
2019-08-25,TULSA OK,166,113
2019-08-25,TYLER-LONGVIEW TX,1093,744
2019-08-25,VICTORIA TX,150,109
2019-08-25,WACO-TEMPLE-BRYAN TX,646,505
2019-09-01,ABILENE-SWEETWATER TX,22,18
2019-09-01,ALEXANDRIA LA,16,10
2019-09-01,AMARILLO TX,55,42
2019-09-01,AUSTIN TX,22,21
2019-09-01,All Other Suddenlink DMA Total,23,23
2019-09-01,BLUEFIELD-BECKLEY-OAK HILL WV,10,10
2019-09-01,CHARLESTON-HUNTINGTON WV,38,35
2019-09-01,DALLAS-FT WORTH TX,17,17
2019-09-01,EUREKA CA,6,6
2019-09-01,GREENVILLE-NEW BERN-WASH NC,129,101
2019-09-01,HOUSTON TX,59,53
2019-09-01,JONESBORO AR,5,5
2019-09-01,LAKE CHARLES LA,10,8
2019-09-01,LITTLE ROCK AR,21,19
2019-09-01,LUBBOCK TX,47,44
2019-09-01,MONROE-EL DORADO LA-AR,16,16
2019-09-01,ODESSA-MIDLAND TX,22,20
2019-09-01,OKLAHOMA CITY OK,12,12
2019-09-01,PARKERSBURG WV,7,5
2019-09-01,PHOENIX AZ,37,35
2019-09-01,RALEIGH-DURHAM NC,53,48
2019-09-01,SAN ANGELO TX,11,11
2019-09-01,SHREVEPORT LA,24,21
2019-09-01,SPRINGFIELD MO,28,21
2019-09-01,ST JOSEPH MO,11,9
2019-09-01,TULSA OK,4,4
2019-09-01,TYLER-LONGVIEW TX,58,54
2019-09-01,VICTORIA TX,16,15
2019-09-01,WACO-TEMPLE-BRYAN TX,46,44
2019-09-08,ABILENE-SWEETWATER TX,308,275
2019-09-08,ALEXANDRIA LA,216,189
2019-09-08,AMARILLO TX,480,399
2019-09-08,AUSTIN TX,298,279
2019-09-08,All Other Suddenlink DMA Total,614,566
2019-09-08,BLUEFIELD-BECKLEY-OAK HILL WV,180,156
2019-09-08,CHARLESTON-HUNTINGTON WV,431,369
2019-09-08,DALLAS-FT WORTH TX,550,506
2019-09-08,EUREKA CA,151,126
2019-09-08,GREENVILLE-NEW BERN-WASH NC,583,467
2019-09-08,HOUSTON TX,661,603
2019-09-08,JONESBORO AR,219,191
2019-09-08,LAKE CHARLES LA,218,187
2019-09-08,LITTLE ROCK AR,407,351
2019-09-08,LUBBOCK TX,459,422
2019-09-08,MONROE-EL DORADO LA-AR,238,219
2019-09-08,ODESSA-MIDLAND TX,244,215
2019-09-08,OKLAHOMA CITY OK,287,247
2019-09-08,PARKERSBURG WV,97,82
2019-09-08,PHOENIX AZ,524,472
2019-09-08,RALEIGH-DURHAM NC,144,124
2019-09-08,SAN ANGELO TX,219,189
2019-09-08,SHREVEPORT LA,345,297
2019-09-08,SPRINGFIELD MO,254,217
2019-09-08,ST JOSEPH MO,141,123
2019-09-08,TULSA OK,118,105
2019-09-08,TYLER-LONGVIEW TX,644,545
2019-09-08,VICTORIA TX,147,124
2019-09-08,WACO-TEMPLE-BRYAN TX,492,451
2019-09-15,ABILENE-SWEETWATER TX,309,254
2019-09-15,ALEXANDRIA LA,247,217
2019-09-15,AMARILLO TX,430,345
2019-09-15,AUSTIN TX,385,352
2019-09-15,All Other Suddenlink DMA Total,581,521
2019-09-15,BLUEFIELD-BECKLEY-OAK HILL WV,226,197
2019-09-15,CHARLESTON-HUNTINGTON WV,574,480
2019-09-15,DALLAS-FT WORTH TX,555,521
2019-09-15,EUREKA CA,168,135
2019-09-15,GREENVILLE-NEW BERN-WASH NC,497,420
2019-09-15,HOUSTON TX,531,476
2019-09-15,JONESBORO AR,196,161
2019-09-15,LAKE CHARLES LA,270,221
2019-09-15,LITTLE ROCK AR,377,326
2019-09-15,LUBBOCK TX,517,448
2019-09-15,MONROE-EL DORADO LA-AR,214,192
2019-09-15,ODESSA-MIDLAND TX,305,267
2019-09-15,OKLAHOMA CITY OK,275,242
2019-09-15,PARKERSBURG WV,114,92
2019-09-15,PHOENIX AZ,531,472
2019-09-15,RALEIGH-DURHAM NC,151,124
2019-09-15,SAN ANGELO TX,249,205
2019-09-15,SHREVEPORT LA,373,323
2019-09-15,SPRINGFIELD MO,265,236
2019-09-15,ST JOSEPH MO,130,108
2019-09-15,TULSA OK,102,87
2019-09-15,TYLER-LONGVIEW TX,611,510
2019-09-15,VICTORIA TX,142,118
2019-09-15,WACO-TEMPLE-BRYAN TX,344,307
2019-09-22,ABILENE-SWEETWATER TX,381,312
2019-09-22,ALEXANDRIA LA,267,236
2019-09-22,AMARILLO TX,510,389
2019-09-22,AUSTIN TX,417,386
2019-09-22,All Other Suddenlink DMA Total,701,625
2019-09-22,BLUEFIELD-BECKLEY-OAK HILL WV,277,229
2019-09-22,CHARLESTON-HUNTINGTON WV,640,554
2019-09-22,DALLAS-FT WORTH TX,623,575
2019-09-22,EUREKA CA,223,180
2019-09-22,GREENVILLE-NEW BERN-WASH NC,519,418
2019-09-22,HOUSTON TX,614,529
2019-09-22,JONESBORO AR,233,190
2019-09-22,LAKE CHARLES LA,355,295
2019-09-22,LITTLE ROCK AR,404,340
2019-09-22,LUBBOCK TX,547,461
2019-09-22,MONROE-EL DORADO LA-AR,166,144
2019-09-22,ODESSA-MIDLAND TX,319,270
2019-09-22,OKLAHOMA CITY OK,349,285
2019-09-22,PARKERSBURG WV,150,117
2019-09-22,PHOENIX AZ,566,486
2019-09-22,RALEIGH-DURHAM NC,228,195
2019-09-22,SAN ANGELO TX,275,225
2019-09-22,SHREVEPORT LA,369,305
2019-09-22,SPRINGFIELD MO,284,243
2019-09-22,ST JOSEPH MO,123,97
2019-09-22,TULSA OK,107,89
2019-09-22,TYLER-LONGVIEW TX,734,602
2019-09-22,VICTORIA TX,126,95
2019-09-22,WACO-TEMPLE-BRYAN TX,385,326
2019-09-29,ABILENE-SWEETWATER TX,360,281
2019-09-29,ALEXANDRIA LA,214,169
2019-09-29,AMARILLO TX,394,291
2019-09-29,AUSTIN TX,366,328
2019-09-29,All Other Suddenlink DMA Total,652,576
2019-09-29,BLUEFIELD-BECKLEY-OAK HILL WV,245,204
2019-09-29,CHARLESTON-HUNTINGTON WV,644,539
2019-09-29,DALLAS-FT WORTH TX,569,524
2019-09-29,EUREKA CA,228,185
2019-09-29,GREENVILLE-NEW BERN-WASH NC,562,457
2019-09-29,HOUSTON TX,866,749
2019-09-29,JONESBORO AR,246,190
2019-09-29,LAKE CHARLES LA,356,281
2019-09-29,LITTLE ROCK AR,346,280
2019-09-29,LUBBOCK TX,451,356
2019-09-29,MONROE-EL DORADO LA-AR,140,113
2019-09-29,ODESSA-MIDLAND TX,300,258
2019-09-29,OKLAHOMA CITY OK,314,255
2019-09-29,PARKERSBURG WV,163,124
2019-09-29,PHOENIX AZ,543,462
2019-09-29,RALEIGH-DURHAM NC,175,141
2019-09-29,SAN ANGELO TX,328,258
2019-09-29,SHREVEPORT LA,320,265
2019-09-29,SPRINGFIELD MO,276,234
2019-09-29,ST JOSEPH MO,107,81
2019-09-29,TULSA OK,116,90
2019-09-29,TYLER-LONGVIEW TX,593,479
2019-09-29,VICTORIA TX,131,91
2019-09-29,WACO-TEMPLE-BRYAN TX,336,288
2019-10-06,ABILENE-SWEETWATER TX,325,264
2019-10-06,ALEXANDRIA LA,283,223
2019-10-06,AMARILLO TX,428,338
2019-10-06,AUSTIN TX,301,269
2019-10-06,All Other Suddenlink DMA Total,609,523
2019-10-06,BLUEFIELD-BECKLEY-OAK HILL WV,257,218
2019-10-06,CHARLESTON-HUNTINGTON WV,587,478
2019-10-06,DALLAS-FT WORTH TX,543,497
2019-10-06,EUREKA CA,169,135
2019-10-06,GREENVILLE-NEW BERN-WASH NC,465,384
2019-10-06,HOUSTON TX,525,458
2019-10-06,JONESBORO AR,213,163
2019-10-06,LAKE CHARLES LA,295,238
2019-10-06,LITTLE ROCK AR,324,260
2019-10-06,LUBBOCK TX,469,396
2019-10-06,MONROE-EL DORADO LA-AR,104,88
2019-10-06,ODESSA-MIDLAND TX,262,223
2019-10-06,OKLAHOMA CITY OK,305,252
2019-10-06,PARKERSBURG WV,190,150
2019-10-06,PHOENIX AZ,564,502
2019-10-06,RALEIGH-DURHAM NC,169,145
2019-10-06,SAN ANGELO TX,209,164
2019-10-06,SHREVEPORT LA,331,287
2019-10-06,SPRINGFIELD MO,255,214
2019-10-06,ST JOSEPH MO,131,101
2019-10-06,TULSA OK,128,98
2019-10-06,TYLER-LONGVIEW TX,651,535
2019-10-06,VICTORIA TX,101,73
2019-10-06,WACO-TEMPLE-BRYAN TX,295,253
2019-10-13,ABILENE-SWEETWATER TX,287,230
2019-10-13,ALEXANDRIA LA,254,219
2019-10-13,AMARILLO TX,402,323
2019-10-13,AUSTIN TX,282,253
2019-10-13,All Other Suddenlink DMA Total,628,566
2019-10-13,BLUEFIELD-BECKLEY-OAK HILL WV,242,202
2019-10-13,CHARLESTON-HUNTINGTON WV,529,446
2019-10-13,DALLAS-FT WORTH TX,536,492
2019-10-13,EUREKA CA,220,175
2019-10-13,GREENVILLE-NEW BERN-WASH NC,444,371
2019-10-13,HOUSTON TX,491,416
2019-10-13,JONESBORO AR,204,170
2019-10-13,LAKE CHARLES LA,270,207
2019-10-13,LITTLE ROCK AR,361,298
2019-10-13,LUBBOCK TX,474,386
2019-10-13,MONROE-EL DORADO LA-AR,115,94
2019-10-13,ODESSA-MIDLAND TX,276,238
2019-10-13,OKLAHOMA CITY OK,276,228
2019-10-13,PARKERSBURG WV,114,98
2019-10-13,PHOENIX AZ,579,512
2019-10-13,RALEIGH-DURHAM NC,147,130
2019-10-13,SAN ANGELO TX,254,202
2019-10-13,SHREVEPORT LA,314,273
2019-10-13,SPRINGFIELD MO,278,233
2019-10-13,ST JOSEPH MO,131,108
2019-10-13,TULSA OK,94,76
2019-10-13,TYLER-LONGVIEW TX,612,495
2019-10-13,VICTORIA TX,95,70
2019-10-13,WACO-TEMPLE-BRYAN TX,280,245
2019-10-20,ABILENE-SWEETWATER TX,231,180
2019-10-20,ALEXANDRIA LA,219,182
2019-10-20,AMARILLO TX,364,283
2019-10-20,AUSTIN TX,275,249
2019-10-20,All Other Suddenlink DMA Total,612,546
2019-10-20,BLUEFIELD-BECKLEY-OAK HILL WV,289,248
2019-10-20,CHARLESTON-HUNTINGTON WV,494,408
2019-10-20,DALLAS-FT WORTH TX,463,428
2019-10-20,EUREKA CA,159,132
2019-10-20,GREENVILLE-NEW BERN-WASH NC,512,431
2019-10-20,HOUSTON TX,496,437
2019-10-20,JONESBORO AR,181,146
2019-10-20,LAKE CHARLES LA,278,226
2019-10-20,LITTLE ROCK AR,338,279
2019-10-20,LUBBOCK TX,410,338
2019-10-20,MONROE-EL DORADO LA-AR,119,106
2019-10-20,ODESSA-MIDLAND TX,228,185
2019-10-20,OKLAHOMA CITY OK,273,225
2019-10-20,PARKERSBURG WV,134,113
2019-10-20,PHOENIX AZ,527,455
2019-10-20,RALEIGH-DURHAM NC,151,134
2019-10-20,SAN ANGELO TX,215,175
2019-10-20,SHREVEPORT LA,278,228
2019-10-20,SPRINGFIELD MO,236,206
2019-10-20,ST JOSEPH MO,105,76
2019-10-20,TULSA OK,110,88
2019-10-20,TYLER-LONGVIEW TX,573,484
2019-10-20,VICTORIA TX,119,93
2019-10-20,WACO-TEMPLE-BRYAN TX,319,285
2019-10-27,ABILENE-SWEETWATER TX,285,203
2019-10-27,ALEXANDRIA LA,231,188
2019-10-27,AMARILLO TX,464,363
2019-10-27,AUSTIN TX,314,284
2019-10-27,All Other Suddenlink DMA Total,700,613
2019-10-27,BLUEFIELD-BECKLEY-OAK HILL WV,268,230
2019-10-27,CHARLESTON-HUNTINGTON WV,460,369
2019-10-27,DALLAS-FT WORTH TX,522,467
2019-10-27,EUREKA CA,141,92
2019-10-27,GREENVILLE-NEW BERN-WASH NC,492,375
2019-10-27,HOUSTON TX,544,449
2019-10-27,JONESBORO AR,212,166
2019-10-27,LAKE CHARLES LA,262,203
2019-10-27,LITTLE ROCK AR,317,261
2019-10-27,LUBBOCK TX,426,330
2019-10-27,MONROE-EL DORADO LA-AR,112,91
2019-10-27,ODESSA-MIDLAND TX,260,194
2019-10-27,OKLAHOMA CITY OK,280,222
2019-10-27,PARKERSBURG WV,125,91
2019-10-27,PHOENIX AZ,573,494
2019-10-27,RALEIGH-DURHAM NC,135,122
2019-10-27,SAN ANGELO TX,239,187
2019-10-27,SHREVEPORT LA,295,244
2019-10-27,SPRINGFIELD MO,241,202
2019-10-27,ST JOSEPH MO,120,81
2019-10-27,TULSA OK,100,74
2019-10-27,TYLER-LONGVIEW TX,590,463
2019-10-27,VICTORIA TX,136,99
2019-10-27,WACO-TEMPLE-BRYAN TX,255,216
2019-11-03,ABILENE-SWEETWATER TX,344,252
2019-11-03,ALEXANDRIA LA,231,175
2019-11-03,AMARILLO TX,557,402
2019-11-03,AUSTIN TX,375,334
2019-11-03,All Other Suddenlink DMA Total,807,694
2019-11-03,BLUEFIELD-BECKLEY-OAK HILL WV,289,229
2019-11-03,CHARLESTON-HUNTINGTON WV,471,359
2019-11-03,DALLAS-FT WORTH TX,562,500
2019-11-03,EUREKA CA,202,163
2019-11-03,GREENVILLE-NEW BERN-WASH NC,484,386
2019-11-03,HOUSTON TX,527,451
2019-11-03,JONESBORO AR,231,171
2019-11-03,LAKE CHARLES LA,311,250
2019-11-03,LITTLE ROCK AR,363,294
2019-11-03,LUBBOCK TX,507,396
2019-11-03,MONROE-EL DORADO LA-AR,160,137
2019-11-03,ODESSA-MIDLAND TX,300,227
2019-11-03,OKLAHOMA CITY OK,239,187
2019-11-03,PARKERSBURG WV,132,100
2019-11-03,PHOENIX AZ,729,618
2019-11-03,RALEIGH-DURHAM NC,114,93
2019-11-03,SAN ANGELO TX,280,243
2019-11-03,SHREVEPORT LA,308,263
2019-11-03,SPRINGFIELD MO,243,202
2019-11-03,ST JOSEPH MO,132,103
2019-11-03,TULSA OK,116,93
2019-11-03,TYLER-LONGVIEW TX,652,530
2019-11-03,VICTORIA TX,111,86
2019-11-03,WACO-TEMPLE-BRYAN TX,322,275
2019-11-10,ABILENE-SWEETWATER TX,276,201
2019-11-10,ALEXANDRIA LA,232,192
2019-11-10,AMARILLO TX,524,383
2019-11-10,AUSTIN TX,310,287
2019-11-10,All Other Suddenlink DMA Total,674,577
2019-11-10,BLUEFIELD-BECKLEY-OAK HILL WV,216,187
2019-11-10,CHARLESTON-HUNTINGTON WV,530,428
2019-11-10,DALLAS-FT WORTH TX,532,480
2019-11-10,EUREKA CA,156,125
2019-11-10,GREENVILLE-NEW BERN-WASH NC,422,333
2019-11-10,HOUSTON TX,526,457
2019-11-10,JONESBORO AR,235,185
2019-11-10,LAKE CHARLES LA,262,210
2019-11-10,LITTLE ROCK AR,313,248
2019-11-10,LUBBOCK TX,502,414
2019-11-10,MONROE-EL DORADO LA-AR,104,88
2019-11-10,ODESSA-MIDLAND TX,266,220
2019-11-10,OKLAHOMA CITY OK,237,184
2019-11-10,PARKERSBURG WV,123,101
2019-11-10,PHOENIX AZ,582,508
2019-11-10,RALEIGH-DURHAM NC,132,110
2019-11-10,SAN ANGELO TX,234,180
2019-11-10,SHREVEPORT LA,315,267
2019-11-10,SPRINGFIELD MO,226,202
2019-11-10,ST JOSEPH MO,114,88
2019-11-10,TULSA OK,103,87
2019-11-10,TYLER-LONGVIEW TX,622,507
2019-11-10,VICTORIA TX,104,87
2019-11-10,WACO-TEMPLE-BRYAN TX,278,241
2019-11-17,ABILENE-SWEETWATER TX,368,267
2019-11-17,ALEXANDRIA LA,217,170
2019-11-17,AMARILLO TX,472,351
2019-11-17,AUSTIN TX,340,314
2019-11-17,All Other Suddenlink DMA Total,647,551
2019-11-17,BLUEFIELD-BECKLEY-OAK HILL WV,236,200
2019-11-17,CHARLESTON-HUNTINGTON WV,657,544
2019-11-17,DALLAS-FT WORTH TX,595,540
2019-11-17,EUREKA CA,174,141
2019-11-17,GREENVILLE-NEW BERN-WASH NC,500,410
2019-11-17,HOUSTON TX,558,481
2019-11-17,JONESBORO AR,211,176
2019-11-17,LAKE CHARLES LA,283,227
2019-11-17,LITTLE ROCK AR,328,270
2019-11-17,LUBBOCK TX,611,531
2019-11-17,MONROE-EL DORADO LA-AR,146,127
2019-11-17,ODESSA-MIDLAND TX,277,214
2019-11-17,OKLAHOMA CITY OK,245,200
2019-11-17,PARKERSBURG WV,127,108
2019-11-17,PHOENIX AZ,617,530
2019-11-17,RALEIGH-DURHAM NC,163,136
2019-11-17,SAN ANGELO TX,241,190
2019-11-17,SHREVEPORT LA,330,290
2019-11-17,SPRINGFIELD MO,246,215
2019-11-17,ST JOSEPH MO,107,89
2019-11-17,TULSA OK,105,86
2019-11-17,TYLER-LONGVIEW TX,592,467
2019-11-17,VICTORIA TX,140,107
2019-11-17,WACO-TEMPLE-BRYAN TX,281,240
2019-11-24,ABILENE-SWEETWATER TX,236,167
2019-11-24,ALEXANDRIA LA,225,175
2019-11-24,AMARILLO TX,406,284
2019-11-24,AUSTIN TX,289,257
2019-11-24,All Other Suddenlink DMA Total,518,435
2019-11-24,BLUEFIELD-BECKLEY-OAK HILL WV,168,135
2019-11-24,CHARLESTON-HUNTINGTON WV,484,381
2019-11-24,DALLAS-FT WORTH TX,440,408
2019-11-24,EUREKA CA,122,92
2019-11-24,GREENVILLE-NEW BERN-WASH NC,411,338
2019-11-24,HOUSTON TX,458,376
2019-11-24,JONESBORO AR,171,132
2019-11-24,LAKE CHARLES LA,200,150
2019-11-24,LITTLE ROCK AR,263,219
2019-11-24,LUBBOCK TX,614,537
2019-11-24,MONROE-EL DORADO LA-AR,104,90
2019-11-24,ODESSA-MIDLAND TX,165,124
2019-11-24,OKLAHOMA CITY OK,206,160
2019-11-24,PARKERSBURG WV,92,76
2019-11-24,PHOENIX AZ,473,403
2019-11-24,RALEIGH-DURHAM NC,145,120
2019-11-24,SAN ANGELO TX,223,173
2019-11-24,SHREVEPORT LA,265,222
2019-11-24,SPRINGFIELD MO,196,159
2019-11-24,ST JOSEPH MO,107,85
2019-11-24,TULSA OK,89,79
2019-11-24,TYLER-LONGVIEW TX,521,412
2019-11-24,VICTORIA TX,91,55
2019-11-24,WACO-TEMPLE-BRYAN TX,261,223
2019-12-01,ABILENE-SWEETWATER TX,413,273
2019-12-01,ALEXANDRIA LA,249,204
2019-12-01,AMARILLO TX,532,406
2019-12-01,AUSTIN TX,363,328
2019-12-01,All Other Suddenlink DMA Total,805,705
2019-12-01,BLUEFIELD-BECKLEY-OAK HILL WV,310,251
2019-12-01,CHARLESTON-HUNTINGTON WV,681,556
2019-12-01,DALLAS-FT WORTH TX,595,542
2019-12-01,EUREKA CA,199,155
