period,mmm_b2c_acq_dma,gross_add_tot,gross_add_true
2017-02-26,CHARLESTON-HUNTINGTON WV,619,487
2017-02-26,DALLAS-FT WORTH TX,579,502
2017-02-26,EUREKA CA,168,115
2017-02-26,GREENVILLE-NEW BERN-WASH NC,639,500
2017-02-26,HOUSTON TX,534,411
2017-02-26,JONESBORO AR,248,177
2017-02-26,LAKE CHARLES LA,360,272
2017-02-26,LITTLE ROCK AR,437,336
2017-02-26,LUBBOCK TX,460,331
2017-02-26,MONROE-EL DORADO LA-AR,199,160
2017-02-26,ODESSA-MIDLAND TX,334,256
2017-02-26,OKLAHOMA CITY OK,387,283
2017-02-26,PARKERSBURG WV,203,154
2017-02-26,PHOENIX AZ,595,463
2017-02-26,RALEIGH-DURHAM NC,187,160
2017-02-26,SAN ANGELO TX,355,250
2017-02-26,SHREVEPORT LA,433,343
2017-02-26,SPRINGFIELD MO,314,233
2017-02-26,ST JOSEPH MO,194,132
2017-02-26,TULSA OK,162,132
2017-02-26,TYLER-LONGVIEW TX,742,523
2017-02-26,VICTORIA TX,173,112
2017-02-26,WACO-TEMPLE-BRYAN TX,326,254
2017-03-05,ABILENE-SWEETWATER TX,327,244
2017-03-05,ALEXANDRIA LA,336,265
2017-03-05,AMARILLO TX,552,382
2017-03-05,AUSTIN TX,226,188
2017-03-05,All Other Suddenlink DMA Total,1110,779
2017-03-05,BLUEFIELD-BECKLEY-OAK HILL WV,241,200
2017-03-05,CHARLESTON-HUNTINGTON WV,626,509
2017-03-05,DALLAS-FT WORTH TX,484,414
2017-03-05,EUREKA CA,146,107
2017-03-05,GREENVILLE-NEW BERN-WASH NC,477,365
2017-03-05,HOUSTON TX,444,382
2017-03-05,JONESBORO AR,216,177
2017-03-05,LAKE CHARLES LA,370,289
2017-03-05,LITTLE ROCK AR,396,313
2017-03-05,LUBBOCK TX,360,261
2017-03-05,MONROE-EL DORADO LA-AR,174,135
2017-03-05,ODESSA-MIDLAND TX,273,225
2017-03-05,OKLAHOMA CITY OK,314,231
2017-03-05,PARKERSBURG WV,134,100
2017-03-05,PHOENIX AZ,468,373
2017-03-05,RALEIGH-DURHAM NC,140,113
2017-03-05,SAN ANGELO TX,330,246
2017-03-05,SHREVEPORT LA,340,287
2017-03-05,SPRINGFIELD MO,255,204
2017-03-05,ST JOSEPH MO,134,91
2017-03-05,TULSA OK,147,109
2017-03-05,TYLER-LONGVIEW TX,617,465
2017-03-05,VICTORIA TX,146,113
2017-03-05,WACO-TEMPLE-BRYAN TX,273,220
2017-03-12,ABILENE-SWEETWATER TX,322,240
2017-03-12,ALEXANDRIA LA,244,189
2017-03-12,AMARILLO TX,455,313
2017-03-12,AUSTIN TX,202,158
