period_date,mmm_b2c_acq_dma,inbound_call_volume
2018-02-17,"NEW YORK, NY",1021
2018-03-15,"NEW YORK, NY",1346
2018-03-27,"NEW YORK, NY",1535
2018-03-09,"NEW YORK, NY",1494
2018-03-11,"NEW YORK, NY",634
2018-04-04,"NEW YORK, NY",1535
2018-04-26,"NEW YORK, NY",1377
2018-04-28,"NEW YORK, NY",898
2018-04-01,"NEW YORK, NY",591
2018-05-18,"NEW YORK, NY",1310
2018-05-24,"NEW YORK, NY",1372
2018-05-06,"NEW YORK, NY",552
2018-06-09,"NEW YORK, NY",833
2018-06-17,"NEW YORK, NY",439
2018-06-20,"NEW YORK, NY",1504
2018-06-24,"NEW YORK, NY",617
2018-06-29,"NEW YORK, NY",1583
2018-06-19,"NEW YORK, NY",1218
2018-06-13,"NEW YORK, NY",1544
2018-06-23,"NEW YORK, NY",922
2018-07-19,"NEW YORK, NY",1488
2018-07-22,"NEW YORK, NY",730
2018-07-10,"NEW YORK, NY",1474
2018-08-22,"NEW YORK, NY",2220
2018-08-29,"NEW YORK, NY",2252
2018-08-14,"NEW YORK, NY",2004
2018-08-18,"NEW YORK, NY",1158
2018-09-12,"NEW YORK, NY",2125
2018-09-25,"NEW YORK, NY",2090
2018-09-18,"NEW YORK, NY",1970
2018-09-17,"NEW YORK, NY",2134
2018-09-02,"NEW YORK, NY",995
2018-10-26,"NEW YORK, NY",1330
2018-10-05,"NEW YORK, NY",1743
2018-11-20,"NEW YORK, NY",1462
2018-11-21,"NEW YORK, NY",1529
2018-12-18,"NEW YORK, NY",1778
2019-01-14,"NEW YORK, NY",1807
2019-02-06,"NEW YORK, NY",1613
2019-02-21,"NEW YORK, NY",1617
2019-02-14,"NEW YORK, NY",1088
2019-03-06,"NEW YORK, NY",1576
2019-03-21,"NEW YORK, NY",1457
2019-03-13,"NEW YORK, NY",1416
2019-03-31,"NEW YORK, NY",801
2019-03-23,"NEW YORK, NY",984
2019-04-16,"NEW YORK, NY",1492
2019-04-25,"NEW YORK, NY",1293
2019-04-29,"NEW YORK, NY",1926
2019-04-23,"NEW YORK, NY",1442
2019-04-07,"NEW YORK, NY",557
2019-04-04,"NEW YORK, NY",1431
2019-04-12,"NEW YORK, NY",1199
2019-04-13,"NEW YORK, NY",803
2019-05-02,"NEW YORK, NY",1782
2019-05-06,"NEW YORK, NY",1720
2019-05-17,"NEW YORK, NY",1224
2019-05-30,"NEW YORK, NY",1858
2019-06-01,"NEW YORK, NY",1093
2019-06-12,"NEW YORK, NY",1581
2019-06-13,"NEW YORK, NY",1509
2019-06-04,"NEW YORK, NY",1586
2019-06-09,"NEW YORK, NY",550
2019-07-26,"NEW YORK, NY",1386
2019-08-07,"NEW YORK, NY",2072
2019-08-03,"NEW YORK, NY",992
2019-08-19,"NEW YORK, NY",2008
2019-08-18,"NEW YORK, NY",611
2019-08-15,"NEW YORK, NY",1707
2019-08-25,"NEW YORK, NY",507
2019-09-07,"NEW YORK, NY",1062
2019-09-08,"NEW YORK, NY",742
2019-09-15,"NEW YORK, NY",710
2019-10-20,"NEW YORK, NY",560
2019-10-01,"NEW YORK, NY",1657
2019-10-21,"NEW YORK, NY",1454
2019-10-13,"NEW YORK, NY",603
2019-10-18,"NEW YORK, NY",1126
2019-11-21,"NEW YORK, NY",1340
2019-11-01,"NEW YORK, NY",1463
2019-11-17,"NEW YORK, NY",594
2019-12-08,"NEW YORK, NY",649
2020-01-16,"NEW YORK, NY",1249
2020-01-06,"NEW YORK, NY",1771
2020-01-18,"NEW YORK, NY",795
2020-01-13,"NEW YORK, NY",1484
2020-01-19,"NEW YORK, NY",544
2020-02-01,"NEW YORK, NY",973
2020-02-29,"NEW YORK, NY",933
2020-02-13,"NEW YORK, NY",1020
2020-02-18,"NEW YORK, NY",1157
2020-03-20,"NEW YORK, NY",1426
2020-03-08,"NEW YORK, NY",589
2020-04-30,"NEW YORK, NY",970
2020-04-15,"NEW YORK, NY",1039
2020-04-24,"NEW YORK, NY",900
2020-04-19,"NEW YORK, NY",547
2020-05-06,"NEW YORK, NY",1001
2020-05-17,"NEW YORK, NY",625
2020-05-29,"NEW YORK, NY",927
2020-06-12,"NEW YORK, NY",917
2020-06-26,"NEW YORK, NY",1043
2020-06-08,"NEW YORK, NY",1268
2020-06-24,"NEW YORK, NY",1289
2020-06-20,"NEW YORK, NY",596
2020-07-09,"NEW YORK, NY",1291
2020-07-29,"NEW YORK, NY",1329
2020-07-21,"NEW YORK, NY",1147
2020-07-13,"NEW YORK, NY",1372
2020-08-24,"NEW YORK, NY",1753
2020-08-14,"NEW YORK, NY",906
2020-08-08,"NEW YORK, NY",624
2020-09-05,"NEW YORK, NY",896
2020-09-12,"NEW YORK, NY",831
2020-09-24,"NEW YORK, NY",1445
2020-09-13,"NEW YORK, NY",429
2020-10-15,"NEW YORK, NY",1183
2020-10-21,"NEW YORK, NY",1105
2020-10-20,"NEW YORK, NY",1254
2020-10-30,"NEW YORK, NY",1225
2020-10-11,"NEW YORK, NY",426
2020-10-17,"NEW YORK, NY",626
2020-11-17,"NEW YORK, NY",1149
2020-11-09,"NEW YORK, NY",1591
2020-11-06,"NEW YORK, NY",1052
2020-11-19,"NEW YORK, NY",1110
2020-11-05,"NEW YORK, NY",1153
2020-11-22,"NEW YORK, NY",413
2020-12-06,"NEW YORK, NY",423
2021-01-22,"NEW YORK, NY",961
2021-01-13,"NEW YORK, NY",1238
2021-01-03,"NEW YORK, NY",499
2021-02-22,"NEW YORK, NY",1166
2021-02-01,"NEW YORK, NY",1030
2021-02-09,"NEW YORK, NY",1107
2021-03-06,"NEW YORK, NY",571
2021-03-28,"NEW YORK, NY",267
2021-04-28,"NEW YORK, NY",670
2021-04-04,"NEW YORK, NY",208
2021-04-14,"NEW YORK, NY",350
2021-04-02,"NEW YORK, NY",826
2021-04-21,"NEW YORK, NY",767
2021-04-23,"NEW YORK, NY",620
2021-05-14,"NEW YORK, NY",593
2021-05-06,"NEW YORK, NY",718
2021-05-28,"NEW YORK, NY",662
2021-06-01,"NEW YORK, NY",1015
2021-06-09,"NEW YORK, NY",701
2021-06-22,"NEW YORK, NY",748
2021-06-14,"NEW YORK, NY",874
2021-06-16,"NEW YORK, NY",640
2021-06-30,"NEW YORK, NY",702
2021-06-17,"NEW YORK, NY",550
2021-06-28,"NEW YORK, NY",845
2021-06-24,"NEW YORK, NY",609
2021-06-29,"NEW YORK, NY",547
2021-06-15,"NEW YORK, NY",654
2021-06-20,"NEW YORK, NY",135
2021-06-05,"NEW YORK, NY",192
2021-07-09,"NEW YORK, NY",577
2021-07-22,"NEW YORK, NY",538
2021-07-07,"NEW YORK, NY",495
2021-07-15,"NEW YORK, NY",638
2021-08-16,"NEW YORK, NY",1073
2021-08-06,"NEW YORK, NY",703
2021-08-12,"NEW YORK, NY",547
2021-08-14,"NEW YORK, NY",392
2021-09-20,"NEW YORK, NY",1097
2021-09-13,"NEW YORK, NY",1096
